title,link,category,description,telephone,address,roadAddress,mapx,mapy,dong,category_keyword
홈즈앤루팡24 오티티 <b>보드게임</b> 플러스 연남점,http://pf.kakao.com/_jAWxgn,"스포츠,오락>보드카페",,,"서울특별시 마포구 연남동 390-75 2층,3층,4층","서울특별시 마포구 동교로38안길 24 2층,3층,4층",1269252118,375621494,연남동,보드게임카페
옐로우스타<b>게임</b>즈 <b>보드게임</b>샵,https://blog.naver.com/yellow-meeple,"쇼핑,유통>장난감",,,"서울특별시 마포구 연남동 373-10 4층, 5층","서울특별시 마포구 동교로 227-11 4층, 5층",1269235147,375607759,연남동,보드게임카페
수영당구클럽,,"스포츠,오락>당구장",,,서울특별시 마포구 연남동 226-14 2층,서울특별시 마포구 연희로 39 2층,1269272582,375623946,연남동,당구장
플레이타임,,"키즈카페,실내놀이터",,,서울특별시 서대문구 창천동 30-33,서울특별시 서대문구 신촌로 83,1269358309,375560845,연남동,키즈카페
우노골프키즈룸,https://www.instagram.com/unoparty_?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,"서비스,산업>장소대여",,,서울특별시 마포구 성산동 165-38 지하 1층,서울특별시 마포구 월드컵북로 197 지하 1층,1269067494,375683918,연남동,키즈카페
디너프 연남,https://www.instagram.com/dinnuff2025,"서비스,산업>장소대여",,,서울특별시 마포구 연남동 385-3 3층 루프탑,서울특별시 마포구 동교로46길 27 3층 루프탑,1269262932,375622774,연남동,노래방
모넨트,https://www.instagram.com/monent__.__,"서비스,산업>장소대여",,,서울특별시 마포구 연남동 226-29 4층 402호,서울특별시 마포구 성미산로 195 4층 402호,1269268570,375627252,연남동,노래방
연남노래연습장,,"스포츠,오락>노래방",,,서울특별시 마포구 연남동 228-47,서울특별시 마포구 동교로 248-2,1269245026,375621038,연남동,노래방
M노래연습장,,"스포츠,오락>노래방",,,서울특별시 마포구 연남동 228-20 2층,서울특별시 마포구 동교로 266 2층,1269254706,375631548,연남동,노래방
샘피시방,,"스포츠,오락>PC방",,,서울특별시 마포구 연남동 226-14,서울특별시 마포구 연희로 39,1269271585,375624100,연남동,PC방
오성건강랜드,,"생활,편의>찜질방",,,서울특별시 서대문구 남가좌동 105-1 창덕에버빌,서울특별시 서대문구 모래내로 143 창덕에버빌,1269174440,375694770,연남동,찜질방
랜디스도넛 연남점,https://www.instagram.com/randysdonuts1952kr/,"음식점>카페,디저트>도넛",,,서울특별시 마포구 연남동 258-3,서울특별시 마포구 동교로 247,1269242188,375620628,연남동,카페
우마이당고 연남 이치,https://www.instagram.com/umai_dango_?igsh=MTBhZ2dveDJqMHpzZw==,"음식점>카페,디저트",,,서울특별시 마포구 연남동 382-29 1층 우마이당고,서울특별시 마포구 동교로38길 34 1층 우마이당고,1269256081,375614555,연남동,카페
코리코<b>카페</b> 연남점,https://www.instagram.com/cafe_koriko/,"음식점>카페,디저트",,,서울특별시 마포구 연남동 223-96 대원미디어 연남점,서울특별시 마포구 성미산로 165-7 대원미디어 연남점,1269247638,375650670,연남동,카페
